Date,Price,Open,High,Low,Volume,Chg%
14-10-2021,490.6,482,493.9,482,23.43M,1.85%
13-10-2021,481.7,486.15,486.15,478,17.64M,-0.27%
12-10-2021,483,470,484.4,468.1,33.76M,2.93%
11-10-2021,469.25,460,474.95,458.65,20.69M,2.46%
08-10-2021,458,461.9,464,454.25,16.52M,0.02%
07-10-2021,457.9,462.1,464,457.1,9.98M,0.15%
06-10-2021,457.2,465,471,453.65,19.06M,-1.61%
05-10-2021,464.7,462,469,458.7,16.49M,0.33%
04-10-2021,463.15,453.8,464.4,451.6,16.25M,2.55%
01-10-2021,451.65,448.5,455.55,443.8,14.78M,-0.30%
30-09-2021,453,459.95,464.9,451.4,26.53M,-1.52%
29-09-2021,460,441.85,462.3,439.1,38.64M,3.39%
28-09-2021,444.9,449.2,455.8,439.6,19.24M,-0.38%
27-09-2021,446.6,444.9,450.55,442.25,11.75M,1.33%
24-09-2021,440.75,451.1,451.9,440,10.73M,-2.01%
23-09-2021,449.8,442.4,451.15,442.05,20.52M,2.50%
22-09-2021,438.85,438.9,442.8,436.1,14.32M,0.01%
21-09-2021,438.8,440.15,441.35,432.65,17.28M,0.31%
20-09-2021,437.45,449.4,453.5,435.65,18.38M,-3.67%
17-09-2021,454.1,468,471.9,450.35,41.53M,-2.07%
16-09-2021,463.7,444.85,466.1,442.75,42.64M,4.47%
15-09-2021,443.85,433,445,431.45,22.18M,2.51%
14-09-2021,433,435,436.75,432.25,9.98M,0.03%
13-09-2021,432.85,430.1,433.8,428.8,9.57M,0.13%
09-09-2021,432.3,430.25,433.8,430,9.66M,0.22%
08-09-2021,431.35,429,435.4,427.35,22.82M,0.52%
07-09-2021,429.1,431.05,431.7,425.1,14.93M,-0.45%
06-09-2021,431.05,432,433.85,430.05,10.69M,-0.08%
03-09-2021,431.4,431.25,434.3,428.2,14.23M,0.38%
02-09-2021,429.75,431.4,433.5,427.75,14.37M,-0.03%
01-09-2021,429.9,427.5,432.55,425.15,18.78M,0.90%
31-08-2021,426.05,423.85,427,418.7,26.26M,0.79%
30-08-2021,422.7,414.4,423.3,413.5,20.31M,2.49%
27-08-2021,412.45,410.35,414.35,407.5,15.09M,0.41%
26-08-2021,410.75,414.5,415.8,410,15.90M,-1.32%
25-08-2021,416.25,419,421.3,414.3,16.41M,-0.32%
24-08-2021,417.6,409.5,418.75,408.2,19.01M,1.98%
23-08-2021,409.5,411.1,413,401.25,26.56M,0.69%
20-08-2021,406.7,415,417.35,405.15,25.54M,-3.10%
18-08-2021,419.7,422.15,424.35,418,17.67M,-0.43%
17-08-2021,421.5,424.85,425.85,415.25,22.96M,-0.79%
16-08-2021,424.85,430,434,424,17.61M,-1.47%
13-08-2021,431.2,427.6,432.25,425,20.91M,0.95%
12-08-2021,427.15,430,430.45,425,16.85M,-0.21%
11-08-2021,428.05,429.8,432.9,423.15,23.83M,0.38%
10-08-2021,426.45,434.4,436.4,421.7,27.79M,-1.60%
09-08-2021,433.4,437.9,441.8,431,22.20M,-0.52%
06-08-2021,435.65,443.7,447,434,38.24M,-1.40%
05-08-2021,441.85,461,462.5,438.4,58.60M,-3.30%
04-08-2021,456.95,448.65,467.45,441.5,129.76M,2.34%
03-08-2021,446.5,434.95,447.9,433.6,40.92M,2.67%
02-08-2021,434.9,434.75,436.7,431.8,16.93M,0.72%
30-07-2021,431.8,441.5,444.4,430.7,35.20M,-2.21%
29-07-2021,441.55,426,443.6,425.5,35.26M,3.77%
28-07-2021,425.5,430,430.5,421.05,17.64M,-1.04%
27-07-2021,429.95,424.15,433.25,424,24.12M,1.57%
26-07-2021,423.3,427.8,427.8,422.3,14.04M,-1.31%
23-07-2021,428.9,422.9,429.95,419.5,17.70M,1.62%
22-07-2021,422.05,425.55,426.7,420.9,11.80M,0.27%
20-07-2021,420.9,427,427,418.9,14.62M,-1.64%
19-07-2021,427.9,423.4,429.45,418.85,14.43M,-0.49%
16-07-2021,430,432,432.5,427.45,8.71M,-0.39%
15-07-2021,431.7,432.7,432.95,429.65,11.03M,0.15%
14-07-2021,431.05,429,432.3,426.4,12.77M,0.45%
13-07-2021,429.1,430,431.8,428.3,12.83M,0.39%
12-07-2021,427.45,426.5,430.25,424.6,12.89M,0.87%
09-07-2021,423.75,425,427.5,421.05,16.84M,-0.16%
08-07-2021,424.45,432.8,435.4,422.1,21.43M,-1.94%
07-07-2021,432.85,429.35,434,427.55,14.47M,0.72%
06-07-2021,429.75,431.7,436.5,428.2,20.20M,-0.67%
05-07-2021,432.65,426.5,434.5,424.25,16.48M,1.94%
02-07-2021,424.4,420.3,425.4,419,16.42M,0.95%
01-07-2021,420.4,420.3,423.7,417.15,16.16M,0.29%
30-06-2021,419.2,423,424.9,418.3,18.34M,-0.55%
29-06-2021,421.5,427.5,428.95,420.55,22.28M,-1.23%
28-06-2021,426.75,430.7,433.15,424.55,29.37M,-0.48%
25-06-2021,428.8,421,431,419.05,29.89M,2.78%
